アイスホッケー部ROOSTERS,【運動系】ホッケー,https://pbs.twimg.com/profile_images/821198923108757504/_6wqcc44_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=22,http://twitter.com/roosters2017,"",http://home.kobe-u.com/roosters/
フィールドホッケー部,【運動系】ホッケー,https://pbs.twimg.com/profile_images/906160925102579713/mLxeoRRp_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=23,http://twitter.com/kobehockey,"",http://kobe-univ-hockey.jimdo.com/
フェンシング部,【運動系】武道・武術・射的,https://pbs.twimg.com/profile_images/870460208559955969/3G_dZ0Yp_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=24,http://twitter.com/kufencing,https://www.facebook.com/kobe.univ.fencingteam,http://home.kobe-u.com/fencing/
洋弓部,【運動系】武道・武術・射的,https://pbs.twimg.com/profile_images/451349319031853059/KJDm7mdK_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=25,http://twitter.com/kobe_archery,"",""
居合道部,【運動系】武道・武術・射的,https://pbs.twimg.com/profile_images/721602670599864321/aFKfYkfA_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=26,http://twitter.com/Shindaiiaido,"",http://home.kobe-u.com/iaido/
剣道部,【運動系】武道・武術・射的,https://www.biber.com/dta/themes/biber/core/assets/images/no-featured-175.jpg,http://weebee1212.com/sp/dantai/content.php?id=27,http://twitter.com/kobekendo2016,"",""
空手道部,【運動系】武道・武術・射的,https://pbs.twimg.com/profile_images/687622650919714816/FrAH3xNl_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=28,http://twitter.com/kobe_karate_28,"",‪ http://kobekaratedo.web.fc2.com/‬
極真空手部,【運動系】武道・武術・射的,https://www.biber.com/dta/themes/biber/core/assets/images/no-featured-175.jpg,http://weebee1212.com/sp/dantai/content.php?id=29,"","",""
合気道部,【運動系】武道・武術・射的,https://pbs.twimg.com/profile_images/528544093501022208/-NVJgMBD_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=30,http://twitter.com/kobeaikido,"",http://home.kobe-u.com/aikido/
少林寺拳法部,【運動系】武道・武術・射的,https://pbs.twimg.com/profile_images/2911017604/0b2756689edc904dfe43504604022355_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=31,http://twitter.com/Shorinji_KobeU,"",""
