中西 亮,秋新歓実行委員長,http://weebee1212.com/interview/image/photo/35/main.jpg,さぁ、『オレン家デイズ』からオレンジデイズへ。,http://weebee1212.com/interview/content.php?id=35
ネイビーズアフロ,現役神大生芸人,http://weebee1212.com/interview/image/photo/36/main.jpg,夢のまんま死んでいける。,http://weebee1212.com/interview/content.php?id=36
神大生のカフェbot,カフェ本を出した人気アカウント,http://weebee1212.com/interview/image/photo/37/main.jpg,まだまだ伝えたい魅力がたくさんあります,http://weebee1212.com/interview/content.php?id=37
西本 光希,"",http://weebee1212.com/interview/image/photo/38/main.jpg,バリア（障害）をバリュー（価値）とする。,http://weebee1212.com/interview/content.php?id=38
宮村 優哉,圧倒的なフォロワー数を誇るカメラマン,http://weebee1212.com/interview/image/photo/39/main.jpg,自分起点で発信していきたい,http://weebee1212.com/interview/content.php?id=39
井上 大樹,新歓祭実行委員長,http://weebee1212.com/interview/image/photo/40/main.jpg,やっぱり一生懸命になれることが楽しい,http://weebee1212.com/interview/content.php?id=40
挨拶の警備員さん,神大の名物挨拶警備員さん,http://weebee1212.com/interview/image/photo/41/main.jpg,コミュニケーションは先手必勝,http://weebee1212.com/interview/content.php?id=41
乾 晃大,夜カフェ”notte”オーナー,http://weebee1212.com/interview/image/photo/43/main.jpg,誰かに貢献できるのがビジネス,http://weebee1212.com/interview/content.php?id=43
井口 翔太,元美容師の発達科学部生,http://weebee1212.com/interview/image/photo/44/main.jpg,主体的に学ぶってこと,http://weebee1212.com/interview/content.php?id=44
高橋 弦太,休学し、長期海外旅行を決意した男,http://weebee1212.com/interview/image/photo/45/main.jpg,今しかないじゃん、学生って,http://weebee1212.com/interview/content.php?id=45
大橋 倫子,大倉山祭2014実行委員長,http://weebee1212.com/interview/image/photo/46/main.jpg,ありのままの医学部を知ってもらいたい,http://weebee1212.com/interview/content.php?id=46
羽賀 誠,ベルカン9期代表,http://weebee1212.com/interview/image/photo/47/main.jpg,面白くないことは続かない,http://weebee1212.com/interview/content.php?id=47
LINO LEIA,歌手活動を行う現役大学生,http://weebee1212.com/interview/image/photo/48/main.jpg,音楽があれば必ず世界は変えられる。,http://weebee1212.com/interview/content.php?id=48
うりぼーたろう,神大のマスコットキャラクター,http://weebee1212.com/interview/image/photo/49/main.jpg,神大生が満足してくれたら嬉しい,http://weebee1212.com/interview/content.php?id=49
池田 輝彦,りんぐ店長,http://weebee1212.com/interview/image/photo/50/main.jpg,みんなでりんぐを作りたい,http://weebee1212.com/interview/content.php?id=50
河上　隼己,ESSディスカッション全国大会2位,http://weebee1212.com/interview/image/photo/51/main.jpg,後悔しないように続けることがエピソードを作る,http://weebee1212.com/interview/content.php?id=51
福田　茜,KooBee2015代表,http://weebee1212.com/interview/image/photo/52/main.jpg,しんどくても、頑張ったら一番楽しいものになる。それが根底にないと面白くない,http://weebee1212.com/interview/content.php?id=52
甲家晩飛,落語研究会代表,http://weebee1212.com/interview/image/photo/53/main.jpg,普通のくだらない話をして、新入生と仲良くなりたい,http://weebee1212.com/interview/content.php?id=53
田中光,カフェ運営を行う現役大学生,http://weebee1212.com/interview/image/photo/54/main.jpg,お客さんそれぞれにとって、ほっこりできるカフェでありたい,http://weebee1212.com/interview/content.php?id=54
宮下奨平,アプリ開発者,http://weebee1212.com/interview/image/photo/55/main.jpg,周りに流されず、自分で決める覚悟が夢を叶える,http://weebee1212.com/interview/content.php?id=55
奥野亜衣,バレエダンサーを目指す、現役大学生,http://weebee1212.com/interview/image/photo/56/main.jpg,全力で向き合い、全力でぶつかって、全部自分の糧にする,http://weebee1212.com/interview/content.php?id=56
月井涼太郎,国際教育プログラム「Up With People」参加者,http://weebee1212.com/interview/image/photo/57/main.jpg,ビビッときたことに対しては努力を惜しまない,http://weebee1212.com/interview/content.php?id=57
